ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
133470;Correio Inteligente - FTP para P&F;GP B2B;Business Solutions;Commercial;Backlog;12;;;;
133333;Evolutivos SAP Logística Q1 2026;SEO;Fulfilment;Operations;Pitch;999;3,0;2,0;3,0;3,0
133251;Evolutivas SAP - Mapeamentos contabilisticos & testes;GPG;Payments;Commercial;In Definition;999;;;;
133243;Citrix nas lojas - Análise para Eliminação / substituição;GS;Mail;Commercial;Backlog;20;;;;
133018;CTT SAP R3 - Nova transação para expandir vários materiais em vários Depósitos;CL;Mail;Corporate;Backlog;999;;;;
132957;Github Migration - ParcelInfo;SI;eCommerce;Technology;Backlog;999;;;;
132956;TFS Migration - NAVE;SI;Mail;Technology;Backlog;999;;;;
132425;"Descontinuar o aplicativo legado ""Criar envio de Correio internacional""";GP B2B;Mail;Commercial;Backlog;10;3,0;3,0;3,0;2,0
132298;Github Migration - Aplicações Canais Digitais;SI;Mail;Technology;Backlog;7;;;;
132278;dotCMS - update da versão;SI;Mail;Technology;Backlog;16;;;;
132222;CCP | Migrate from .Net 8 to .Net 10;SI;Mail;Technology;Backlog;53;;;;
132220;Create code reviewer AI agent;SI;Mail;Technology;Backlog;999;;;;
132219;CCP | Configure alerts for all CCP applications;SI;Mail;Technology;Backlog;40;3,0;2,0;2,0;2,0
132218;CCP | Notifications | Refactor application to meet CCP patterns;SI;Mail;Technology;Backlog;18;3,0;2,0;1,0;1,0
132063;ODM - Uniformização Ambiente Produtivo;SI;Mail;Technology;Backlog;32;3,0;2,0;2,0;1,0
132062;BPM - Upgrade WebSphere;SI;Mail;Technology;Backlog;24;3,0;2,0;2,0;1,0
132061;Migração ADO2GitHub - Pipeline ODM;SI;Mail;Technology;Backlog;9;2,0;4,0;4,0;1,0
132060;Migração ADO2GitHub - Pipelines CRM;SI;Mail;Technology;Backlog;13;2,0;3,0;3,0;1,0
132059;Mata Aplicações - Wave 1.15 - CRM Oracle Sales;SI;Mail;Technology;Backlog;39;3,0;3,0;3,0;3,0
132058;Evolutivos CRM Q1.2026;SI;Mail;Technology;Backlog;45;2,0;;1,0;1,0
132054;Observability | Notifications | Alarmistic association to Teams / Squads;SI;Mail;Technology;In Definition;20;;;;
132024;ESW | EQA | Utilização Regular da Automação de QA em Regressões;SI;Mail;Technology;Backlog;23;;;;
132023;ESW | EQA |Estabilização de Testes Automáticos Existentes de QA;SI;Mail;Technology;Backlog;33;;;;
132022;ESW | EQA | Implementação de Automação Básica de QA em Aplicações Críticas;SI;Mail;Technology;Backlog;42;;;;
132021;ESW | EQA | Definição de Checklist Mínimo de QA por Projeto;SI;Mail;Technology;Backlog;21;;;;
131995;INT| - Alarmística MuleSoft;SI;Mail;Technology;Backlog;999;;;;
131994;INT| - Reconstrução dos processos de LOGs do SD mulesoft no ELK coorporativo.;SI;Mail;Technology;Backlog;22;;;;
