ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
IDEA001;New eCommerce Portal;GP ECL;eCommerce;Commercial;Backlog;4;;;;
IDEA002;Checkout Optimization;GP B2B;Mail;Commercial;In Development;1;;;;
IDEA003;Mail Sorting Automation;EDO;Mail;Operations;In Acceptance;1;;;;
IDEA004;ML Recommendations;DAI;eCommerce;Data&AI;Ready for Execution;1;;;;
IDEA005;Mobile Payment System;GPG;Payments;Commercial;In Development;1;;;;
IDEA006;Customer Portal Enhancement;GP ECL;eCommerce;Commercial;Backlog;3;;;;
IDEA007;Fulfilment Tracking System;GP ECL;Fulfilment;Operations;Ready for Acceptance;1;;;;
IDEA008;Business Analytics Dashboard;DAI;Business Solutions;Data&AI;Pitch;2;;;;
IDEA009;Mail API Integration;SI;Mail;Technology;Ready for Execution;2;;;;
IDEA010;Retail POS Upgrade;GP B2C;Retail & Financial Services;Commercial;In Approval;1;;;;
IDEA011;Security Compliance Update;CISO;eCommerce;CISO;Ready for Execution;1;;;;
IDEA012;Banco CTT Mobile App;BCTT;Mail;Corporate;In Rollout;1;;;;
IDEA013;Corporate HR System;GRH;Mail;Corporate;Backlog;1;;;;
IDEA014;Payment Gateway Update;GPG;Payments;Commercial;In Definition;2;;;;
IDEA015;eCommerce Search Enhancement;SI;eCommerce;Technology;Ready for Approval;1;;;;
IDEA016;Mail Delivery Optimization;EDO;Mail;Operations;In Development;2;;;;
IDEA017;Fulfilment Warehouse Automation;GP ECL;Fulfilment;Operations;Ready for Solution;2;;;;
IDEA018;Business Solutions CRM;GP B2B;Business Solutions;Commercial;In Acceptance;2;;;;
IDEA019;Retail Customer Experience;SI;Retail & Financial Services;Technology;Pitch;3;;;;
IDEA020;Banco CTT Security Enhancement;CISO;Banco CTT;CISO;In Development;2;;;;
IDEA021;System 1;SI;Mail;Technology;Ready for Execution;4;2;;;
IDEA022;System 2;SI;Mail;Technology;Ready for Execution;5;3;;;
IDEA023;System 3;SI;Mail;Technology;Ready for Execution;6;4;;;
IDEA024;System 4;SI;Mail;Technology;Ready for Execution;7;5;;;
IDEA025;System 5;SI;eCommerce;Technology;Ready for Execution;8;6;;;
IDEA026;System 6;SI;eCommerce;Technology;Ready for Execution;9;7;;;
IDEA027;System 7;SI;eCommerce;Technology;Ready for Execution;10;8;;;
IDEA028;System 8;SI;eCommerce;Technology;Ready for Execution;11;9;;;
